candidate,part_iii_policy,horizon_months,independent_subject_count,ambiguous_subject_count,clinical_target_count,target_role,policy_role,status
candidate_A,unique_only,baseline,343,,4617,primary,sensitivity,READY_FOR_USER_SELECTED_TASK
candidate_A,unique_only,12,232,0,2650,primary,sensitivity,READY_FOR_USER_SELECTED_TASK
candidate_A,unique_only,24,179,0,2015,primary,sensitivity,READY_FOR_USER_SELECTED_TASK
candidate_A,unique_only,48,45,0,709,primary,sensitivity,READY_FOR_USER_SELECTED_TASK
candidate_A,prefer_off,baseline,348,,4943,primary,primary,READY_FOR_USER_SELECTED_TASK
candidate_A,prefer_off,12,269,6,3056,primary,primary,READY_FOR_USER_SELECTED_TASK
candidate_A,prefer_off,24,151,5,1917,primary,primary,READY_FOR_USER_SELECTED_TASK
candidate_A,prefer_off,48,82,5,1163,primary,primary,READY_FOR_USER_SELECTED_TASK
candidate_A,prefer_on,baseline,352,,4980,primary,sensitivity,READY_FOR_USER_SELECTED_TASK
candidate_A,prefer_on,12,285,1,3134,primary,sensitivity,READY_FOR_USER_SELECTED_TASK
candidate_A,prefer_on,24,154,0,1887,primary,sensitivity,READY_FOR_USER_SELECTED_TASK
candidate_A,prefer_on,48,85,0,1224,primary,sensitivity,READY_FOR_USER_SELECTED_TASK
candidate_B,unique_only,baseline,339,,4564,secondary_sensitivity,sensitivity,READY_FOR_USER_SELECTED_TASK
candidate_B,unique_only,12,226,0,2610,secondary_sensitivity,sensitivity,READY_FOR_USER_SELECTED_TASK
candidate_B,unique_only,24,177,0,1982,secondary_sensitivity,sensitivity,READY_FOR_USER_SELECTED_TASK
candidate_B,unique_only,48,45,0,704,secondary_sensitivity,sensitivity,READY_FOR_USER_SELECTED_TASK
candidate_B,prefer_off,baseline,344,,4887,secondary_sensitivity,primary,READY_FOR_USER_SELECTED_TASK
candidate_B,prefer_off,12,263,6,3014,secondary_sensitivity,primary,READY_FOR_USER_SELECTED_TASK
candidate_B,prefer_off,24,149,5,1889,secondary_sensitivity,primary,READY_FOR_USER_SELECTED_TASK
candidate_B,prefer_off,48,81,5,1153,secondary_sensitivity,primary,READY_FOR_USER_SELECTED_TASK
candidate_B,prefer_on,baseline,348,,4924,secondary_sensitivity,sensitivity,READY_FOR_USER_SELECTED_TASK
candidate_B,prefer_on,12,279,1,3088,secondary_sensitivity,sensitivity,READY_FOR_USER_SELECTED_TASK
candidate_B,prefer_on,24,153,0,1864,secondary_sensitivity,sensitivity,READY_FOR_USER_SELECTED_TASK
candidate_B,prefer_on,48,84,0,1209,secondary_sensitivity,sensitivity,READY_FOR_USER_SELECTED_TASK
